cluster,weekdayindex,day,hour,time,violationdescription,percent,globalpercent,result,lat_min,long_min,lat_max,long_max
5637,4,Friday,12,12:00 ,RED ZONE,1.0,0.096217105,10.39,34.03634673,-118.2557685,34.03640776,-118.2557192
3067,2,Wednesday,16,4:00 P,DISPLAY OF TABS,1.0,0.041398344,24.16,33.94917286,-118.2855285,33.956012,-118.2804
3317,1,Tuesday,9,9:00 A,PARKED OVER TIME LIMIT,1.0,0.055020633,18.17,34.19935743,-118.467439,34.19935786,-118.466503
675,4,Friday,4,4:00 A,NO PARK/STREET CLEAN,1.0,0.015102888,66.21,34.10877357,-118.1981328,34.10939914,-118.1976883
3341,5,Saturday,15,3:00 P,DISPLAY OF PLATES,1.0,0.040723982,24.56,34.07832592,-118.263822,34.07842388,-118.2635963
4733,1,Tuesday,12,12:00 ,METER EXP.,0.5,0.128044972,3.9,34.110402,-118.2874295,34.11054075,-118.2874291
5354,2,Wednesday,9,9:00 A,RED ZONE,1.0,0.045736434,21.86,34.042942,-118.2648641,34.0436478,-118.2634627
469,4,Friday,2,2:00 A,RED ZONE,0.5,0.055098684,9.07,34.015062,-118.347247,34.015963,-118.347195
754,5,Saturday,5,5:00 A,BLOCKING DRIVEWAY,1.0,0.014705882,68.0,34.22698786,-118.589768,34.2272633,-118.586337
3000,0,Monday,19,7:00 P,PREFERENTIAL PARKING,1.0,0.114060964,8.77,34.14840835,-118.4383708,34.14852088,-118.4383707
2038,5,Saturday,16,4:00 P,METER EXP.,1.0,0.089192708,11.21,34.04523361,-118.4431295,34.04535035,-118.4430289
1558,0,Monday,11,11:00 ,METER EXP.,1.0,0.136273341,7.34,34.04194,-118.424654,34.04194,-118.424654
5643,4,Friday,8,8:00 A,METER EXP.,1.0,0.076371459,13.09,34.0550934,-118.254496,34.0550934,-118.254496
3428,2,Wednesday,12,12:00 ,PARKED OVER TIME LIMIT,1.0,0.178683386,5.6,34.18093,-118.4510287,34.181657,-118.450894
4070,6,Sunday,0,12:00 ,PREFERENTIAL PARKING,1.0,0.05651341,17.69,34.06781637,-118.3472243,34.06819172,-118.3472236
134,5,Saturday,23,11:00 ,DISPLAY OF PLATES,1.0,0.022624434,44.2,33.72608277,-118.2952671,33.72880247,-118.2943535
1454,4,Friday,10,10:00 ,DISPLAY OF PLATES,1.0,0.117647059,8.5,34.23912033,-118.5351113,34.23912063,-118.5345291
1790,4,Friday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.219369454,4.56,34.04184341,-118.4654934,34.04241515,-118.465021
3699,6,Sunday,1,1:00 A,RED ZONE,1.0,0.075596817,13.23,33.997406,-118.2793063,34.000042,-118.277265
1782,2,Wednesday,1,1:00 A,DISPLAY OF PLATES,1.0,0.03180212,31.44,34.0460699,-118.464317,34.04678455,-118.4638099
864,2,Wednesday,7,7:00 A,DISPLAY OF TABS,1.0,0.032198712,31.06,34.25191814,-118.4812101,34.2563955,-118.47292
6227,0,Monday,23,11:00 ,WHITE ZONE,1.0,0.039274924,25.46,34.06538033,-118.3006161,34.065382,-118.300358
3711,0,Monday,12,12:00 ,PARKED OVER TIME LIMIT,0.5,0.135084428,3.7,34.06033446,-118.3221881,34.06115326,-118.3210213
2235,0,Monday,14,2:00 P,STANDNG IN ALLEY,1.0,0.062801932,15.92,33.98918,-118.4590591,33.98969441,-118.4585836
2156,4,Friday,12,12:00 ,METER EXP.,0.5,0.130154177,3.84,34.05054266,-118.4338285,34.05054266,-118.4338285
1199,1,Tuesday,16,4:00 P,DISPLAY OF TABS,1.0,0.055105348,18.15,34.059011,-118.206605,34.059011,-118.206605
2674,3,Thursday,6,6:00 A,WHITE ZONE,1.0,0.176470588,5.67,34.04111565,-118.213015,34.041173,-118.2128866
2341,0,Monday,14,2:00 P,METER EXP.,0.25,0.094954311,2.63,33.984246,-118.471359,33.984246,-118.471359
2446,1,Tuesday,20,8:00 P,DISPLAY OF TABS,1.0,0.009724473,102.83,34.138442,-118.375308,34.138442,-118.375308
980,4,Friday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.310930715,3.22,34.04920974,-118.418632,34.05073905,-118.4168587
605,5,Saturday,9,9:00 A,METER EXP.,0.5,0.059244792,8.44,34.12135141,-118.2062328,34.12135141,-118.2062328
3924,4,Friday,3,3:00 A,RED ZONE,0.333333333,0.03125,10.67,34.04518267,-118.2360162,34.045336,-118.2357472
3713,0,Monday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.242645645,4.12,34.0816548,-118.3295049,34.08238474,-118.3292599
6119,5,Saturday,4,4:00 A,DISPLAY OF PLATES,1.0,0.009049774,110.5,34.05140915,-118.275767,34.05201027,-118.2748987
6399,4,Friday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.219369454,4.56,34.05353273,-118.2668285,34.05366837,-118.2667397
3074,3,Thursday,12,12:00 ,NO PARK/STREET CLEAN,1.0,0.21692563,4.61,34.00189697,-118.3072721,34.00371226,-118.3034475
1361,2,Wednesday,3,3:00 A,RED ZONE,0.5,0.048837209,10.24,33.99528,-118.2688045,33.996559,-118.267389
5929,0,Monday,15,3:00 P,DISPLAY OF TABS,1.0,0.038617886,25.89,34.04080088,-118.257248,34.04080088,-118.257248
2374,4,Friday,11,11:00 ,DISPLAY OF TABS,1.0,0.125813449,7.95,34.15324947,-118.4775045,34.15340376,-118.4775043
3001,3,Thursday,18,6:00 P,PREFERENTIAL PARKING,1.0,0.182034976,5.49,34.14857714,-118.4383709,34.14857714,-118.4383709
837,3,Thursday,8,8:00 A,NO PARK/STREET CLEAN,1.0,0.301252074,3.32,34.18928815,-118.5905854,34.19043091,-118.590583
6259,1,Tuesday,13,1:00 P,NO PARK/STREET CLEAN,0.333333333,0.040326235,8.27,34.06303615,-118.2809376,34.0634739,-118.2806571
1224,1,Tuesday,13,1:00 P,METER EXP.,0.5,0.104309806,4.79,34.06197666,-118.211151,34.06277,-118.2104662
3386,4,Friday,12,12:00 ,PREFERENTIAL PARKING,0.166666667,0.037408759,4.46,34.19528035,-118.461062,34.19528035,-118.461062
3845,6,Sunday,2,2:00 A,RED ZONE,1.0,0.055702918,17.95,34.001705,-118.2877822,34.00272888,-118.2868231
1477,1,Tuesday,13,1:00 P,PREFERENTIAL PARKING,0.166666667,0.03264095,5.11,34.21942927,-118.5317101,34.21942927,-118.5317101
119,6,Sunday,17,5:00 P,STOP/STAND PROHIBIT,1.0,0.080645161,12.4,34.15182087,-118.2753155,34.15182087,-118.2753155
4773,1,Tuesday,12,12:00 ,NO PARK/STREET CLEAN,0.833333333,0.245431204,3.4,34.101629,-118.3505467,34.101888,-118.349973
6240,3,Thursday,12,12:00 ,DISPLAY OF PLATES,1.0,0.097103918,10.3,34.05353,-118.260863,34.05353,-118.260863
